id,area_code,int_area_code,Count_of_area,Count_of_broadband_type,broadband_type,bb_type,outage_type,Count_of_transit_server_type,server_type,transit_type,log_report,count_of_log,Sum_of_logs,Count_of_log_report_type,sum_area_vol,Average_of_Volume_frm_area,StdDev_of_Volume_frm_area,Min_of_Volume_frm_area,Max_of_Volume_frm_area,Median_of_Volume_frm_area,Sum_of_volume,Average_of_volume,StdDev_of_volume,Min_of_volume,Max_of_volume,Median_of_volume,outage_duration
1415,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_203_82_193,1514,549,4,135,34,33,2,78,27,46,12,18,1,38,4,1
1548,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82,3472,82,1,20,20,0,20,20,20,4,4,0,4,4,4,2
1793,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_82_193_203_71,3472,549,4,21,5,4,1,10,5,108,27,23,8,57,22,2
2177,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_203_193_71_82,2823,549,4,22,6,4,2,10,5,100,25,19,8,45,24,1
2861,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_193_71_82,1160,346,3,94,31,41,3,78,13,35,12,14,1,28,6,0
3267,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_71_203_193,3472,549,4,69,17,16,5,39,13,36,9,7,2,16,9,1
3341,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82_71_193,3472,346,3,89,30,42,2,78,10,57,19,25,1,48,8,0
3379,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_203_193_71,3472,549,4,27,7,4,2,11,7,71,18,16,7,41,12,2
3826,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_193,1514,264,2,22,11,3,9,13,11,15,8,2,6,9,8,0
4152,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82_71,3472,153,2,78,39,0,39,39,39,4,2,0,2,2,2,0
4232,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_71_203_193_82,1514,549,4,22,6,6,1,13,4,203,51,58,6,131,33,2
4293,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_193_82_203,1514,549,4,102,25,35,2,78,11,53,13,16,1,37,8,1
4348,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_82_193_203,1514,549,4,27,7,5,1,11,8,99,25,28,7,65,14,0
4440,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_82_71_56_172_193_201_203_80,3472,1058,8,328,41,40,1,78,43,143,18,28,1,83,6,0
4819,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_193_82_203_71,1160,549,4,19,5,5,1,11,3,130,33,24,7,58,33,2
5401,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_203_71_82_193,2823,549,4,16,4,3,0,9,4,239,60,84,9,186,22,2
6051,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_201_80_203_71_193_82,902,830,6,108,18,13,1,39,14,86,14,24,2,64,6,1
6337,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_193_203_71,3472,549,4,69,17,15,3,39,13,41,10,11,2,27,6,2
6346,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_193_203_71_82,1160,549,4,10,3,1,1,4,2,149,37,21,18,66,33,2
6801,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_203_82_71_193,2823,549,4,86,21,14,10,39,19,20,5,3,2,8,5,1
7502,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_203_193_82,1514,549,4,34,8,8,1,20,7,93,23,28,4,64,13,1
8294,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_193_71,1160,264,2,117,59,28,39,78,59,3,2,1,1,2,2,0
8546,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_193_82_203,1514,549,4,18,5,5,1,11,3,226,57,65,7,148,36,0
8800,1107,1107,78,2,_8_1,with 8,1,3,_7_11_15,others,_71_80_193_203_82,1514,629,5,57,11,10,1,26,8,124,25,39,3,94,10,2
9007,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_203_201_80,3472,566,4,78,20,8,13,26,20,18,5,2,3,6,5,1
9040,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_203_71_82_193,2823,549,4,83,21,15,5,39,20,26,7,6,2,15,5,2
10376,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_203_82_71_193,2823,549,4,32,8,6,1,13,9,95,24,29,6,66,12,2
10548,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_203_82_193_201_71_80,2823,830,6,289,48,35,3,78,59,39,7,11,1,28,2,0
10694,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_193_203_172_71_56,3472,777,6,56,9,5,3,16,10,71,12,9,5,27,8,0
11012,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_80_82_203,1336,365,3,85,28,43,3,78,4,45,15,12,1,24,20,2
11179,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_193_82,1514,346,3,54,18,19,4,39,11,31,10,10,2,22,7,0
11738,1107,1107,78,2,_8_2,with 8,1,3,_20_15_11,others,_80_219_201_56_71_82,1336,709,6,204,34,35,3,78,19,51,9,11,1,30,5,1
11778,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_63_183_193_203_71_82,37,795,6,168,28,30,1,78,24,104,17,23,1,58,6,2
12277,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_172_71_193_201_203_80_56,3472,1058,8,65,8,7,1,20,5,225,28,42,4,129,15,2
12396,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_82_80_71,3472,233,3,83,28,20,5,39,39,20,7,8,2,16,2,0
12454,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_193_203_71,3472,549,4,52,13,18,0,39,7,237,59,99,2,208,14,1
12479,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_193_203_71,3472,549,4,91,23,4,20,26,23,14,4,1,3,4,4,1
12675,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_82_203_71_193,3472,549,4,96,24,18,2,39,27,46,12,17,2,37,4,1
12694,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_203_201_193_80_82,1514,830,6,180,30,29,2,78,29,79,13,17,1,40,3,2
12750,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_82_203_71_193,3472,549,4,58,15,17,2,39,9,69,17,19,2,44,12,2
13269,1107,1107,78,2,_2_8,with 8,2,2,_38_15,others,_238_80_317_82_203,6,920,5,273,55,32,20,78,78,11,2,2,1,4,1,2
13378,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_193_71_82_203,1160,549,4,32,8,6,3,16,7,67,17,13,5,30,16,2
13686,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_193_203_82_71,1160,549,4,116,29,34,2,78,18,44,11,14,1,32,6,0
14558,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_82_193_80_203_201_71,3472,830,6,150,25,28,3,78,20,57,10,10,1,24,4,1
15124,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_203_82,2823,285,2,98,49,41,20,78,49,5,3,2,1,4,3,1
15145,1107,1107,78,1,_8,only 8,2,1,_15,only 15,_71_82,1514,153,2,81,41,53,3,78,41,27,14,18,1,26,14,0
15339,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_82_193_80_203,1514,629,5,114,23,32,1,78,6,188,38,64,1,152,14,2
15988,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_193_82,1514,346,3,28,9,6,6,16,7,31,10,5,5,14,12,0
16349,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71,1514,71,1,26,26,0,26,26,26,3,3,0,3,3,3,2
16366,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_193_82,1514,346,3,93,31,41,4,78,11,26,9,9,1,18,7,0
16429,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_203_82_193_71,2823,549,4,20,5,3,1,9,5,106,27,25,9,63,17,2
16916,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_193_203_82,1514,549,4,34,8,8,2,20,6,73,18,18,4,44,13,2
17096,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_193_201_203_108_82,1514,858,6,96,16,31,0,78,2,674,112,158,1,413,55,2
17343,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71,1514,71,1,16,16,0,16,16,16,5,5,0,5,5,5,2
17482,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_193_203_82,1514,549,4,16,4,2,1,7,4,127,32,29,12,74,21,2
17538,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_203_82_193_80,1514,629,5,87,17,34,0,78,3,405,81,121,1,293,26,2
18443,1107,1107,78,1,_8,only 8,1,2,_11_15,only 11&15,_71_201_193_82_80,1514,627,5,85,17,7,9,26,20,27,5,3,3,9,4,1
18451,1107,1107,78,1,_8,only 8,1,2,_15_11,only 11&15,_71_82_193,1514,346,3,35,12,9,2,20,13,46,15,18,4,36,6,0
733,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,1,1,0,1,1,1,39,20,5,16,23,20,0
7916,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_170,1526,170,1,13,13,0,13,13,13,1,1,0,1,1,1,1
13600,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_54_68_170,1573,292,3,7,2,3,0,7,1,60,20,17,2,35,23,0
14336,1106,1106,13,1,_8,only 8,2,1,_11,only 11,_68_206,1093,274,2,26,13,0,13,13,13,2,1,0,1,1,1,1
14954,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_54_170,1573,224,2,2,1,0,1,1,1,31,16,4,13,18,16,1
15368,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_170_54,1526,224,2,1,1,0,0,1,1,51,26,2,24,27,26,0
18538,1106,1106,13,1,_8,only 8,1,1,_11,only 11,_86_207_170_54,50,517,4,36,9,5,3,13,10,8,2,1,1,4,2,1
6036,1105,1105,2,1,_8,only 8,2,1,_11,only 11,_55,564,55,1,2,2,0,2,2,2,1,1,0,1,1,1,0
16805,1105,1105,2,1,_8,only 8,1,1,_11,only 11,_171_55,459,226,2,3,2,1,1,2,2,3,2,1,1,2,2,0
358,1104,1104,5,1,_8,only 8,1,1,_11,only 11,_80_201,1336,281,2,10,5,0,5,5,5,2,1,0,1,1,1,1
4253,1104,1104,5,1,_8,only 8,2,1,_15,only 15,_63,37,63,1,5,5,0,5,5,5,1,1,0,1,1,1,0
8309,1104,1104,5,1,_2,only 2,1,1,_20,only 20,_219_134,1152,353,2,10,5,0,5,5,5,2,1,0,1,1,1,0
14182,1104,1104,5,1,_8,only 8,2,1,_15,only 15,_80,1336,80,1,5,5,0,5,5,5,1,1,0,1,1,1,0
2541,1103,1103,5,1,_2,only 2,1,1,_20,only 20,_134,1419,134,1,5,5,0,5,5,5,1,1,0,1,1,1,0
2917,1103,1103,5,3,_8_1_2,with 8,1,6,_15_8_6_11_7_11,others,_219_172_80_201_56_134,1152,862,6,20,3,2,1,5,4,13,2,2,1,5,2,2
8481,1103,1103,5,2,_1_2,with 2,1,2,_5_38,others,_141_317_8,24,466,3,13,4,1,3,5,5,4,1,1,1,2,1,1
13689,1103,1103,5,2,_1_2,with 2,1,2,_38_5,others,_317_141_8,17,466,3,15,5,0,5,5,5,3,1,0,1,1,1,1
8168,1102,1102,2,1,_8,only 8,1,1,_11,only 11,_73_195,868,268,2,2,1,0,1,1,1,4,2,0,2,2,2,0
9514,1102,1102,2,1,_8,only 8,2,1,_11,only 11,_65,23,65,1,1,1,0,1,1,1,2,2,0,2,2,2,0
1500,1101,1101,2,1,_8,only 8,1,1,_11,only 11,_80,1336,80,1,1,1,0,1,1,1,2,2,0,2,2,2,0
320,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_203_193_71_108_82,2823,657,5,32,6,9,1,23,3,142,28,34,2,88,18,2
430,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_71_82_203,1514,356,3,27,9,12,1,23,3,57,19,21,2,42,13,1
623,1100,1100,45,1,_8,only 8,2,1,_15,only 15,_82,3472,82,1,2,2,0,2,2,2,19,19,0,19,19,19,0
874,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_82_203,3472,285,2,1,1,0,0,1,1,157,79,52,42,115,79,2
1947,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_172_56_193_71_82_203_105,214,882,7,34,5,6,1,15,2,174,25,19,3,55,22,2
1997,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_203,3472,285,2,6,3,2,1,4,3,42,21,14,11,31,21,2
2770,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_203_82_56_172_105_71_193,2823,882,7,38,5,8,0,23,1,468,67,70,2,187,56,2
2926,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_80_201_82_203,1336,566,4,20,5,5,0,11,4,221,55,68,4,149,34,2
3333,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_82_203,3472,285,2,3,1,1,1,2,1,93,47,33,23,70,47,2
3730,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_198_76,70,274,2,34,17,8,11,23,17,6,3,1,2,4,3,1
4879,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_105_172_71_56_203_193,3472,882,7,30,4,6,0,15,1,504,72,78,3,211,51,2
4973,1100,1100,45,1,_8,only 8,1,1,_11,only 11,_71,1514,71,1,45,45,0,45,45,45,1,1,0,1,1,1,2
5609,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_201_71_80_203_82,902,637,5,140,28,23,1,45,45,72,14,24,1,57,1,2
6211,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_80_201_203_82,1336,566,4,71,18,21,1,45,12,63,16,17,1,36,13,2
6629,1100,1100,45,1,_8,only 8,2,1,_15,only 15,_203_82,2823,285,2,8,4,4,1,6,4,48,24,24,7,41,24,1
7435,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_71_203_82,1514,356,3,26,9,12,1,23,2,57,19,16,2,34,21,2
9052,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_203_71_82,2823,356,3,23,8,7,1,15,8,69,23,32,3,60,6,0
9730,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_71_203,3472,356,3,61,20,23,1,45,15,54,18,28,1,50,3,1
9808,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_71_203_193,3472,549,4,33,8,8,1,15,8,78,20,21,3,48,14,2
10489,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_105_203_193_71_172_82_56,26,882,7,30,4,5,0,11,2,634,91,117,4,296,20,2
11093,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_63_71_203_183_82_193,37,795,6,136,23,20,0,45,23,218,36,60,1,146,2,2
11589,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_193_82_71_203,1160,549,4,15,4,5,0,11,2,226,57,77,4,171,26,2
12087,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_203,3472,285,2,16,8,5,5,11,8,14,7,4,4,10,7,2
12385,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_80_203_82_201,1336,566,4,57,14,10,1,23,17,57,14,23,2,49,3,2
12879,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_193_201_82_71_203_80,1160,830,6,122,20,21,0,45,15,190,32,60,1,153,4,2
13425,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_172_71_56_82_193_80_203,214,857,7,134,19,19,0,45,15,197,28,47,1,122,3,2
13447,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_193_203_71_82,1160,549,4,22,5,7,1,15,3,128,32,37,3,84,21,2
13642,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_82_203,3472,285,2,2,1,0,0,1,1,145,73,46,40,105,73,2
15176,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_203_71_193,3472,549,4,30,7,7,1,15,7,67,17,17,3,39,13,2
15204,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_203_193_71_82,2823,549,4,36,9,10,1,23,6,92,23,25,2,55,18,2
15331,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_203_71_63_82_193,2823,612,5,87,17,17,3,45,9,32,6,7,1,18,5,2
16498,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_71_203_201_193_80_82,1514,830,6,110,18,21,1,45,9,153,26,35,1,84,8,2
17037,1100,1100,45,1,_8,only 8,2,1,_15,only 15,_82_201_193_203_71_80,3472,830,6,140,23,19,1,45,23,63,11,18,1,46,2,2
17240,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_203_82_193_71_68,2823,617,5,55,11,10,1,23,15,114,23,33,2,78,3,2
17460,1100,1100,45,1,_8,only 8,1,2,_15_11,only 11&15,_201_82_203_80_71,902,637,5,150,30,21,0,45,45,103,21,43,1,97,1,1
17811,1100,1100,45,1,_8,only 8,1,2,_11_15,only 11&15,_82_80_203,3472,365,3,21,7,5,1,11,9,54,18,23,4,45,5,1
257,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_202_81,277,283,2,17,9,4,6,12,9,6,3,1,2,4,3,0
681,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_70_191,364,261,2,8,4,1,4,5,4,11,6,1,5,6,6,0
3304,1099,1099,23,1,_8,only 8,2,1,_11,only 11,_81_202,305,283,2,12,6,2,5,8,6,8,4,1,3,5,4,1
4319,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_70_55_191_171,364,487,4,30,7,3,5,12,7,14,4,1,2,5,4,0
4852,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_202_81_70_171_55_191,277,770,6,90,15,9,4,23,17,15,3,2,1,6,2,0
5169,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_202_191_70_81,277,544,4,52,13,7,6,23,12,9,2,1,1,4,2,0
5672,1099,1099,23,1,_8,only 8,1,1,_11,only 11,_202_70_55_191_171_81,277,770,6,50,8,8,1,23,6,37,6,6,1,17,4,0
